"","ll_95_scale","est_scale","ul_95_scale","ll_75_scale","est2_scale","ul_75_scale"
"(Intercept)",4.74410885041254,4.9280492019788,5.11198955354507,4.82101525112076,4.9280492019788,5.03508315283685
"scale(lrare)",0.127979874925213,0.383017091704846,0.638054308484479,0.234612238200319,0.383017091704846,0.531421945209373
"Year2018",-0.255177466518135,0.00633510115961053,0.267847668837356,-0.145837725951119,0.00633510115961053,0.15850792827034
"TreatmentRats",-0.574403692041811,-0.359813784922856,-0.145223877803901,-0.475234124512027,-0.359813784922856,-0.244393445333684
"scale(Structure)",0.0933308001618985,0.211616377366235,0.32990195457057,0.142786604290896,0.211616377366235,0.280446150441573
"scale(lcc)",-0.118027091791165,-0.000895192635978846,0.116236706519207,-0.0690536463484516,-0.000895192635978846,0.0672632610764939
"scale(lrare):Year2018",-0.0145327752210935,0.24276254139673,0.500057858014554,0.0930437111325878,0.24276254139673,0.392481371660873
"scale(lrare):TreatmentRats",-0.299939150320224,-0.0644867323492346,0.170965685621754,-0.201495291482248,-0.0644867323492346,0.0725218267837784
