"","ll_95_scale","est_scale","ul_95_scale","ll_75_scale","est2_scale","ul_75_scale"
"(Intercept)",5.81047313095372,6.05684413425402,6.30321513755433,5.91344927764076,6.05684413425402,6.20023899086728
"scale(lrare)",0.283845338418591,0.42208136132512,0.560317384231648,0.341624106137069,0.42208136132512,0.502538616513171
"Year2018",-0.341058984523631,-0.0642128424979428,0.212633299527745,-0.225345087396579,-0.0642128424979428,0.0969194024006932
"TreatmentRats",-0.910056695896229,-0.55117876256396,-0.192300829231692,-0.744206540488803,-0.55117876256396,-0.358150984639117
"scale(Structure)",0.0684352680001999,0.220315699390009,0.372196130779818,0.131917014521421,0.220315699390009,0.308714384258597
"scale(lcc)",-0.0717542889560291,0.084880830268965,0.241515949493959,-0.00628521671299695,0.084880830268965,0.176046877250927
