"","x","predicted","std.error","conf.low","conf.high","group","facet"
"1",1.39,3.24603399009586,0.47216613083042,2.32060537894861,4.17146260124311,"No_rats","2015"
"2",1.39,2.569701093362,0.2517149974612,2.07634876396946,3.06305342275454,"No_rats","2018"
"3",1.39,2.74022368706726,0.39261254552305,1.97071723796349,3.50973013617103,"Rats","2015"
"4",1.39,2.0638907903334,0.397416035981768,1.28496967293046,2.84281190773634,"Rats","2018"
"5",1.61,3.49930722353122,0.403909970254996,2.70765822883478,4.29095621822766,"No_rats","2015"
"6",1.61,2.96219741736946,0.211861567934266,2.54695637451011,3.37743846022881,"No_rats","2018"
"7",1.61,3.05150093392958,0.331897525884302,2.4009937366384,3.70200813122077,"Rats","2015"
"8",1.61,2.51439112776782,0.331319171140622,1.86501748494454,3.1637647705911,"Rats","2018"
"9",1.95,3.89072949338586,0.299334982134927,3.30404370908846,4.47741527768326,"No_rats","2015"
"10",1.95,3.56878264538098,0.153452659445424,3.26802095953606,3.8695443312259,"No_rats","2018"
"11",1.95,3.53256576998953,0.239664159123532,3.06283264972233,4.00229889025673,"Rats","2015"
"12",1.95,3.21061892198465,0.230963404623171,2.75793896717649,3.66329887679282,"Rats","2018"
"13",2.08,4.04039094950675,0.259882251766621,3.531031095823,4.5497508031905,"No_rats","2015"
"14",2.08,3.80071229138539,0.133058224512839,3.53992296349338,4.0615016192774,"No_rats","2018"
"15",2.08,3.71650232495363,0.20538038315108,3.31396417084648,4.11904047906078,"Rats","2015"
"16",2.08,3.47682366683227,0.193774637850426,3.09703235552814,3.8566149781364,"Rats","2018"
"17",2.2,4.17853998592603,0.223935019162337,3.73963541349057,4.6174445583615,"No_rats","2015"
"18",2.2,4.01480119538946,0.115963509975793,3.78751689231605,4.24208549846286,"No_rats","2018"
"19",2.2,3.88628991415126,0.174648884714265,3.54398439017121,4.22859543813131,"Rats","2015"
"20",2.2,3.72255112361468,0.16064294160674,3.4076967436949,4.03740550353446,"Rats","2018"
"21",2.3,4.2936641829421,0.19451043699181,3.91243073182101,4.6748976340632,"No_rats","2015"
"22",2.3,4.19320861539284,0.103603672767374,3.99014914810272,4.39626808268297,"No_rats","2018"
"23",2.3,4.02777957181595,0.150112292369358,3.73356488513526,4.32199425849664,"Rats","2015"
"24",2.3,3.92732400426669,0.134543556397767,3.66362347937513,4.19102452915824,"Rats","2018"
"25",2.4,4.40878837995818,0.165843740074711,4.08374062235032,4.73383613756603,"No_rats","2015"
"26",2.4,4.37161603539623,0.0936897455609926,4.18798750837597,4.5552445624165,"No_rats","2018"
"27",2.4,4.16926922948064,0.127156105125003,3.92004784302125,4.41849061594004,"Rats","2015"
"28",2.4,4.1320968849187,0.110859264705575,3.91481671874318,4.34937705109422,"Rats","2018"
"29",2.48,4.50088773757103,0.143761456682178,4.21912046010895,4.78265501503312,"No_rats","2015"
"30",2.48,4.51434197139895,0.0880832959609016,4.341701883676,4.68698205912189,"No_rats","2018"
"31",2.48,4.28246095561239,0.11059466610623,4.06569939316195,4.49922251806284,"Rats","2015"
"32",2.48,4.29591518944031,0.0948802336728004,4.10995334859687,4.48187703028374,"Rats","2018"
"33",2.56,4.59298709518389,0.122879268882481,4.35214815372761,4.83382603664016,"No_rats","2015"
"34",2.56,4.65706790740166,0.084997631388946,4.49047561110811,4.8236602036952,"No_rats","2018"
"35",2.56,4.39565268174415,0.0965397844582414,4.20643818113073,4.58486718235756,"Rats","2015"
"36",2.56,4.45973349396191,0.083220292904722,4.29662471708579,4.62284227083804,"Rats","2018"
"37",2.64,4.68508645279674,0.103923149505303,4.48140082260638,4.88877208298711,"No_rats","2015"
"38",2.64,4.79979384340437,0.0847086735020076,4.63376789416227,4.96581979264646,"No_rats","2018"
"39",2.64,4.5088444078759,0.0862260082970696,4.33984453708299,4.67784427866881,"Rats","2015"
"40",2.64,4.62355179848352,0.0778450499331097,4.4709783042399,4.77612529272714,"Rats","2018"
"41",2.71,4.76567339070799,0.0898827504808876,4.58950643693405,4.94184034448193,"No_rats","2015"
"42",2.71,4.92467903740674,0.0867786189853656,4.7545960695673,5.09476200524618,"No_rats","2018"
"43",2.71,4.60788716824118,0.0814087592333105,4.4483289321178,4.76744540436456,"Rats","2015"
"44",2.71,4.76689281493993,0.0793448424947188,4.61137978129128,4.92240584858858,"Rats","2018"
"45",2.77,4.83474790891764,0.0807444752299283,4.67649164551639,4.99300417231888,"No_rats","2015"
"46",2.77,5.03172348940877,0.090168477592709,4.85499652078626,5.20845045803129,"No_rats","2018"
"47",2.77,4.69278096284,0.0809973959856895,4.53402898386652,4.85153294181348,"Rats","2015"
"48",2.77,4.88975654333114,0.0850620660437254,4.72303795743487,5.05647512922741,"Rats","2018"
"49",2.83,4.90382242712728,0.0753266385133493,4.75618492856465,5.05145992568991,"No_rats","2015"
"50",2.83,5.13876794141081,0.0948841942940676,4.95279833789233,5.32473754492928,"No_rats","2018"
"51",2.83,4.77767475743881,0.0840894338382714,4.61286249563544,4.94248701924219,"Rats","2015"
"52",2.83,5.01262027172234,0.0941096382574833,4.82816877013958,5.1970717733051,"Rats","2018"
"53",2.89,4.97289694533692,0.0744459898362739,4.82698548646439,5.11880840420945,"No_rats","2015"
"54",2.89,5.24581239341284,0.100739747068129,5.04836611734763,5.44325866947805,"No_rats","2018"
"55",2.89,4.86256855203763,0.0903258006343838,4.68553323591949,5.03960386815576,"Rats","2015"
"56",2.89,5.13548400011355,0.105635272662555,4.92844267019787,5.34252533002922,"Rats","2018"
