"","x","predicted","std.error","conf.low","conf.high","group","facet"
"1",1.39,4.19459271362851,0.536161337980543,3.14373580128384,5.24544962597318,"No_rats","2015"
"2",1.39,4.05152806032234,0.294176431170243,3.47495285012814,4.62810327051654,"No_rats","2018"
"3",1.39,3.28910619287571,0.450894021178807,2.40537015052081,4.17284223523061,"Rats","2015"
"4",1.39,3.14604153956955,0.439845249726739,2.28396069133411,4.00812238780498,"Rats","2018"
"5",1.61,4.47988553389904,0.458866165541576,3.58052437571355,5.37924669208452,"No_rats","2015"
"6",1.61,4.37675427012521,0.248455377107186,3.88979067922981,4.86371786102062,"No_rats","2018"
"7",1.61,3.65953926246684,0.381352995497967,2.91210112589436,4.40697739903932,"Rats","2015"
"8",1.61,3.55640799869302,0.367400142176677,2.83631695211184,4.2764990452742,"Rats","2018"
"9",1.95,4.92079261977167,0.340622634985591,4.25318452288078,5.58840071666256,"No_rats","2015"
"10",1.95,4.87937659436601,0.181743275782804,4.52316631939939,5.23558686933264,"No_rats","2018"
"11",1.95,4.23202673365313,0.27596557875895,3.69114413831284,4.77290932899342,"Rats","2015"
"12",1.95,4.19061070824747,0.257802108940639,3.68532785958535,4.6958935569096,"Rats","2018"
"13",2.08,5.08937474084062,0.296116793165636,4.50899649101848,5.66975299066276,"No_rats","2015"
"14",2.08,5.07155571834044,0.158592891729079,4.76071936234738,5.38239207433349,"No_rats","2018"
"15",2.08,4.45091900204789,0.236945191804486,3.98651495980116,4.91532304429461,"Rats","2015"
"16",2.08,4.43309997954771,0.217433425414188,4.00693829670072,4.85926166239469,"Rats","2018"
"17",2.2,5.24498900644273,0.255655211450152,4.74391399954046,5.746064013345,"No_rats","2015"
"18",2.2,5.24895183277837,0.139277464246803,4.97597301899657,5.52193064656017,"No_rats","2018"
"19",2.2,4.65297340364305,0.202105709231286,4.2568534924798,5.04909331480629,"Rats","2015"
"20",2.2,4.65693622997869,0.18169351843973,4.30082347761246,5.01304898234493,"Rats","2018"
"21",2.3,5.37466756111115,0.222634077793504,4.93831278690459,5.8110223353177,"No_rats","2015"
"22",2.3,5.39678192814331,0.125370746031642,5.15105978120637,5.64250407508025,"No_rats","2018"
"23",2.3,4.82135207163902,0.1744431923285,4.47944969732696,5.16325444595107,"Rats","2015"
"24",2.3,4.84346643867118,0.15378859388886,4.54204633341595,5.1448865439264,"Rats","2018"
"25",2.4,5.50434611577957,0.190598319535448,5.13078027397624,5.87791195758291,"No_rats","2015"
"26",2.4,5.54461202350825,0.11423806518765,5.32070953007692,5.76851451693958,"No_rats","2018"
"27",2.4,4.98973073963498,0.148771277125259,4.69814439453545,5.28131708473452,"Rats","2015"
"28",2.4,5.02999664736366,0.128784380309832,4.77758390018508,5.28240939454224,"Rats","2018"
"29",2.48,5.60808895951431,0.166063441617308,5.28261059479562,5.933567324233,"No_rats","2015"
"30",2.48,5.66287609980021,0.107914932041708,5.45136671960437,5.87438547999604,"No_rats","2018"
"31",2.48,5.12443367403176,0.130462138511476,4.86873258120319,5.38013476686033,"Rats","2015"
"32",2.48,5.17922081431765,0.112188181184871,4.95933601970425,5.39910560893106,"Rats","2018"
"33",2.56,5.71183180324905,0.14304508500871,5.43146858846651,5.99219501803159,"No_rats","2015"
"34",2.56,5.78114017609216,0.104351259513872,5.57661546570358,5.98566488648074,"No_rats","2018"
"35",2.56,5.25913660842853,0.115168789390509,5.03340992908005,5.48486328777701,"Rats","2015"
"36",2.56,5.32844498127164,0.100281881340649,5.13189610554205,5.52499385700123,"Rats","2018"
"37",2.64,5.81557464698378,0.122401832175131,5.57567146427881,6.05547782968876,"No_rats","2015"
"38",2.64,5.89940425238411,0.10383156529454,5.6958981239484,6.10291038081983,"No_rats","2018"
"39",2.64,5.3938395428253,0.10422732027422,5.18955774888271,5.5981213367679,"Rats","2015"
"40",2.64,5.47766914822563,0.0948484042814662,5.29176969184286,5.6635686046084,"Rats","2018"
"41",2.71,5.90634963525168,0.107373592598112,5.69590126086871,6.11679800963466,"No_rats","2015"
"42",2.71,6.00288531913957,0.105915526674358,5.79529470145424,6.21047593682491,"No_rats","2018"
"43",2.71,5.51170461042248,0.0993741910741901,5.31693477492427,5.7064744459207,"Rats","2015"
"44",2.71,5.60824029431037,0.0963013996446043,5.41949301934615,5.7969875692746,"Rats","2018"
"45",2.77,5.98415676805273,0.0978053846270081,5.79246173668971,6.17585179941576,"No_rats","2015"
"46",2.77,6.09158337635854,0.109488770886862,5.87698932870873,6.30617742400834,"No_rats","2018"
"47",2.77,5.61273181122006,0.0992703278457453,5.41816554390892,5.80729807853121,"Rats","2015"
"48",2.77,5.72015841952587,0.102017138630488,5.52020850200428,5.92010833704745,"Rats","2018"
"49",2.83,6.06196390085379,0.0923182377797793,5.88102347968921,6.24290432201836,"No_rats","2015"
"50",2.83,6.1802814335775,0.114551852839156,5.95576392765042,6.40479893950458,"No_rats","2018"
"51",2.83,5.71375901201764,0.102940362609709,5.51199960874712,5.91551841528817,"Rats","2015"
"52",2.83,5.83207654474136,0.111209825408979,5.61410929221277,6.05004379726994,"Rats","2018"
"53",2.89,6.13977103365484,0.091648129722357,5.96014400014857,6.31939806716112,"No_rats","2015"
"54",2.89,6.26897949079647,0.120917769192175,6.03198501808888,6.50597396350406,"No_rats","2018"
"55",2.89,5.81478621281522,0.110007229955578,5.59917600406327,6.03039642156717,"Rats","2015"
"56",2.89,5.94399466995685,0.123102987993552,5.70271724710022,6.18527209281348,"Rats","2018"
"57",2.94,6.20461031098905,0.0948651407790801,6.01867805167373,6.39054257030437,"No_rats","2015"
"58",2.94,6.34289453847894,0.127077945550059,6.09382634197148,6.59196273498639,"No_rats","2018"
"59",2.94,5.89897554681321,0.118060615105438,5.6675809932139,6.13037010041251,"Rats","2015"
"60",2.94,6.03725977430309,0.134566105874429,5.77351505324941,6.30100449535678,"Rats","2018"
"61",3.04,6.33428886565747,0.110072732604241,6.11855027407325,6.55002745724169,"No_rats","2015"
"62",3.04,6.49072463384388,0.141293572644617,6.21379432021344,6.76765494747432,"No_rats","2018"
"63",3.04,6.06735421480917,0.138566995199465,5.79576789477229,6.33894053484606,"Rats","2015"
"64",3.04,6.22378998299558,0.160429066164366,5.90935479124003,6.53822517475113,"Rats","2018"
"65",3.09,6.39912814299168,0.1209652955912,6.16204052025369,6.63621576572968,"No_rats","2015"
"66",3.09,6.56463968152635,0.149168514631351,6.27227476522157,6.85700459783113,"No_rats","2018"
"67",3.09,6.15154354880716,0.150421399014794,5.85672302423403,6.44636407338028,"Rats","2015"
"68",3.09,6.31705508734182,0.174393929060806,5.97524926726021,6.65886090742343,"Rats","2018"
"69",3.14,6.4639674203259,0.133371883664908,6.20256333179241,6.72537150885938,"No_rats","2015"
"70",3.14,6.63855472920882,0.157454256087005,6.32995005806574,6.9471594003519,"No_rats","2018"
"71",3.14,6.23573288280514,0.163040091327221,5.91618017576767,6.55528558984261,"Rats","2015"
"72",3.14,6.41032019168807,0.188846556030825,6.04018774326322,6.78045264011291,"Rats","2018"
"73",3.18,6.51583884219326,0.144126347658125,6.23335639156004,6.79832129282649,"No_rats","2015"
"74",3.18,6.6976867673548,0.164336977888307,6.37559220936556,7.01978132534403,"No_rats","2018"
"75",3.18,6.30308435000353,0.173573692479756,5.96288616407958,6.64328253592748,"Rats","2015"
"76",3.18,6.48493227516506,0.200689165018951,6.0915887396405,6.87827581068962,"Rats","2018"
"77",3.22,6.56771026406063,0.155452949293491,6.26302808215486,6.87239244596641,"No_rats","2015"
"78",3.22,6.75681880550077,0.171416177151449,6.4208492719164,7.09278833908515,"No_rats","2018"
"79",3.22,6.37043581720192,0.18442500645634,6.00896944669892,6.73190218770491,"Rats","2015"
"80",3.22,6.55954435864206,0.21273606716486,6.14258932878624,6.97649938849788,"Rats","2018"
"81",3.26,6.619581685928,0.167235478941066,6.29180617026621,6.9473572015898,"No_rats","2015"
"82",3.26,6.81595084364675,0.178668500926088,6.46576701665986,7.16613467063364,"No_rats","2018"
"83",3.26,6.4377872844003,0.195541147168774,6.05453367845386,6.82104089034674,"Rats","2015"
"84",3.26,6.63415644211905,0.224954443554706,6.19325383458958,7.07505904964852,"Rats","2018"
"85",3.3,6.67145310779537,0.179384118603291,6.31986669593446,7.02303951965628,"No_rats","2015"
"86",3.3,6.87508288179273,0.186073707447718,6.51038511672536,7.2397806468601,"No_rats","2018"
"87",3.3,6.50513875159869,0.206879429644503,6.09966252035327,6.9106149828441,"Rats","2015"
"88",3.3,6.70876852559604,0.237317810462489,6.24363416419966,7.17390288699243,"Rats","2018"
"89",3.4,6.80113166246379,0.210938053551655,6.38770067453357,7.21456265039402,"No_rats","2015"
"90",3.4,7.02291297715767,0.205146125526147,6.62083395955849,7.42499199475685,"No_rats","2018"
"91",3.4,6.67351741959466,0.235985429584568,6.21099447673269,7.13604036245662,"Rats","2015"
"92",3.4,6.89529873428853,0.268728689398591,6.36860018145464,7.42199728712242,"Rats","2018"
