"","ll_95_scale","est_scale","ul_95_scale","ll_75_scale","est2_scale","ul_75_scale"
"(Intercept)",2.72745700936891,2.86805333757468,3.00864966578045,2.78621331858918,2.86805333757468,2.94989335656017
"Year2018",-0.332387833015149,-0.191406063211093,-0.0504242934070383,-0.273470444725285,-0.191406063211093,-0.109341681696902
"TreatmentRats",-0.333486087054177,-0.121554269648281,0.0903775477576142,-0.235544916567099,-0.121554269648281,-0.00756362272946369
"scale(Structure)",0.101837574853168,0.178251336039213,0.254665097225257,0.133771485491007,0.178251336039213,0.222731186587418
"scale(lcc)",-0.0488137094237499,0.0339477279357864,0.116709165295323,-0.0142270550845676,0.0339477279357864,0.0821225109561404
