"","ll_95","est","ul_95","ll_75","est2","ul_75"
"(Intercept)",-0.781821348532973,0.00589643607362646,0.793614220680226,-0.452577480346218,0.00589643607362646,0.464370352493471
"lrich",1.32919333746842,1.65263183981454,1.97607034216065,1.46438153013586,1.65263183981454,1.84088214949321
"Year2018",-0.0375870540343216,0.197480203868793,0.432547461771907,0.0606644451554893,0.197480203868793,0.334295962582096
"TreatmentRats",-0.313046282896865,-0.118821880637729,0.0754025216214066,-0.223288333725974,-0.118821880637729,-0.014355427549484
"Structure",-0.108992355611205,0.0695307193541695,0.248053794319544,-0.0343747337791061,0.0695307193541695,0.173436172487445
"lcc",-0.0954638281934531,0.014868665819537,0.125201159832527,-0.0493479503684134,0.014868665819537,0.0790852820074874
