"","ll_95_scale","est_scale","ul_95_scale","ll_75_scale","est2_scale","ul_75_scale"
"(Intercept)",5.8365614008438,6.0980531983876,6.35954499593139,5.9458924573117,6.0980531983876,6.25021393946349
"scale(lrare)",0.0319032289834137,0.31298785650365,0.594072484023886,0.14942614776073,0.31298785650365,0.47654956524657
"Year2018",-0.370884021632244,-0.0809507322392569,0.20898255715373,-0.2496614321197,-0.0809507322392569,0.0877599676411858
"TreatmentRats",-0.956628306741796,-0.58727038085679,-0.217912454971784,-0.785934977006538,-0.58727038085679,-0.388605784707041
"scale(Structure)",0.0585535832674199,0.21258886344604,0.366624143624659,0.122956520848806,0.21258886344604,0.302221206043273
"scale(lcc)",-0.0750710611338481,0.0825448386795545,0.240160738492957,-0.00917104819041344,0.0825448386795545,0.174260725549522
"scale(lrare):Year2018",-0.146133242040922,0.149870866623546,0.445874975288014,-0.0223724119762408,0.149870866623546,0.322114145223333
"scale(lrare):TreatmentRats",-0.239147952442653,0.0294908337500957,0.298129619942844,-0.126828703507938,0.0294908337500957,0.185810371008129
