"","ll_95","est","ul_95","ll_75","est2","ul_75"
"(Intercept)",1.84710595718799,2.17926594935618,2.51142594152437,1.98591822532826,2.17926594935618,2.37261367338409
"TreatmentRats",-0.333486087824884,-0.121554269641564,0.0903775485417562,-0.235544916978531,-0.121554269641564,-0.00756362230459706
"Year2018",-0.332387832881053,-0.191406063091401,-0.0504242933017488,-0.273470444597209,-0.191406063091401,-0.109341681585593
"Structure",0.147886116231457,0.258852372316139,0.36981862840082,0.194259785720075,0.258852372316139,0.323444958912203
"lcc",-0.0497006337511209,0.0345645438853295,0.11882972152178,-0.0144855545460485,0.0345645438853295,0.0836146423167075
