"","ll_95_scale","est_scale","ul_95_scale","ll_75_scale","est2_scale","ul_75_scale"
"(Intercept)",4.52370410533764,4.6859111303004,4.84811815526316,4.59150207738987,4.6859111303004,4.78032018321093
"scale(lrich)",0.517437153490811,0.643347428002041,0.769257702513271,0.570064105217231,0.643347428002041,0.716630750786852
"Year2018",-0.0375870540008122,0.197480203891418,0.432547461783649,0.0606644451844497,0.197480203891418,0.334295962598387
"TreatmentRats",-0.313046283020039,-0.118821880719976,0.0754025215800867,-0.223288333830234,-0.118821880719976,-0.0143554276097176
"scale(Structure)",-0.0750544907541624,0.0478803554589491,0.170815201672061,-0.0236711843300692,0.0478803554589491,0.119431895247967
"scale(lcc)",-0.0937602442192696,0.0146033295662927,0.122966903351855,-0.0484673196453784,0.0146033295662927,0.0776739787779638
