"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lprod","~","lrich",1.61911235869217,0.15790199340181,10.2539070204899,0,1.30963013853754,1.9285945788468,1.61911235869217,0.749103752979515,0.749103752979515
"2","lprod","~","Year",0.141838062112715,0.110984163042393,1.27800271880716,0.201248467629964,-0.0756869003046954,0.359363024530126,0.141838062112715,0.083642551524687,0.167443442037069
"3","lprod","~","Treatment",-0.500791671330807,0.0999960181192198,-5.00811613052172,5.4965368723181e-07,-0.696780265441892,-0.304803077219721,-0.500791671330807,-0.295319130482297,-0.591197312922181
"4","lprod","~","Structure",0.0716107679070645,0.0881794358450858,0.812102813096591,0.416732639150758,-0.101217750526364,0.244439286340493,0.0716107679070645,0.0578976740224235,0.0578976740224235
"5","lprod","~","lcc",-0.0187669198397016,0.0585145220846411,-0.320722432160606,0.748420746214351,-0.133453275698172,0.0959194360187686,-0.0187669198397016,-0.0216408861024374,-0.0216408861024374
"6","lrich","~","Treatment",-0.121519851036609,0.0647969429295543,-1.87539481868339,0.0607384274179987,-0.248519525486833,0.00547982341361435,-0.121519851036609,-0.154887627295087,-0.310068463604788
"7","lrich","~","Year",-0.204833596175494,0.0700982055899722,-2.92209471628466,0.00347685789810126,-0.342223554512724,-0.067443637838264,-0.204833596175494,-0.261078247144858,-0.522650726765992
"8","lrich","~","Structure",0.296427531717408,0.0493424728821009,6.00755321740142,1.88343984852679e-09,0.199718061960346,0.39313700147447,0.296427531717408,0.518007846884068,0.518007846884068
"9","lrich","~","lcc",0.0200119714378693,0.0385787321472504,0.518730666458555,0.603948573368042,-0.0556009541399591,0.0956248970156976,0.0200119714378693,0.0498777586715605,0.0498777586715605
"10","Structure","~","Year",0.106810784153393,0.146429073190793,0.729437001996329,0.465734390554548,-0.180184925590141,0.393806493896927,0.106810784153393,0.0779052635450797,0.155958005142191
"11","Structure","~","lcc",0.266224005843792,0.0748824002674253,3.55522799607163,0.000377651462833972,0.119457198243726,0.412990813443858,0.266224005843792,0.379705133190103,0.379705133190103
"12","lcc","~","Year",-0.816899716499146,0.181961063576573,-4.48942043117579,7.14172175642069e-06,-1.17353684769783,-0.460262585300459,-0.816899716499146,-0.417754549805356,-0.836299927141858
"13","lcc","~","Treatment",0.380704948796771,0.181961063576573,2.09223303773756,0.0364176744670333,0.0240678175980838,0.737342079995457,0.380704948796771,0.194688798736328,0.389746151835783
"14","lprod","~~","lprod",0.210616497802988,0.031053708434566,6.78232998312528,1.18252074798875e-11,0.149752347684831,0.271480647921145,0.210616497802988,0.293523646976866,0.293523646976866
"15","lrich","~~","lrich",0.0918183182947831,0.0135378724602358,6.78232998312529,1.18252074798875e-11,0.0652845758454244,0.118352060744142,0.0918183182947831,0.597791962947911,0.597791962947911
"16","Structure","~~","Structure",0.409920544169004,0.0604394869003578,6.78232998312527,1.18252074798875e-11,0.291461326600222,0.528379761737785,0.409920544169004,0.873946446122417,0.873946446122417
"17","lcc","~~","lcc",0.758516074708662,0.111837093829979,6.78232998312527,1.18252074798875e-11,0.539319398666276,0.977712750751047,0.758516074708662,0.794971237897006,0.794971237897006
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
