"","ll_95_scale","est_scale","ul_95_scale","ll_75_scale","est2_scale","ul_75_scale"
"(Intercept)",3.04551912658069,3.24619013517572,3.44686114377075,3.12938111631415,3.24619013517572,3.36299915403729
"Year2018",-0.388295790634551,-0.147407866872859,0.0934800568888336,-0.28762683635534,-0.147407866872859,-0.00718889739037759
"TreatmentRats",-0.271797808842635,-0.039609372276759,0.192579064289117,-0.164495339920411,-0.039609372276759,0.0852765953668931
"scale(Structure)",0.101352485692863,0.216189887260574,0.331027288828284,0.149343937266832,0.216189887260574,0.283035837254315
"scale(lcc)",-0.0686600402741816,0.0655881524536581,0.199836345181498,-0.0125566667021819,0.0655881524536581,0.143732971609498
