MaxSizeTL,sstmean,Diet,Position,Kmax,Kmax_lowqt,Kmax_upqt
2,14,Omnivr,BtPlDw,2.455,1.418,4.157
2,14,Omnivr,BnthAs,1.569,0.896,2.699
2,14,Omnivr,BnthDw,2.111,1.296,3.557
2,14,Plktiv,PelgAs,2.506,1.487,4.2
2,14,Plktiv,PelgDw,2.522,1.488,4.278
2,14,Plktiv,BtPlAs,2.383,1.384,4.054
2,14,Plktiv,BtPlDw,2.823,1.726,4.756
2,14,Plktiv,BnthAs,1.824,1.035,3.107
2,14,Plktiv,BnthDw,2.441,1.437,4.122
2,14,InvSes,PelgAs,2.43,1.502,4.098
2,14,InvSes,PelgDw,2.419,1.483,4.157
2,14,InvSes,BtPlAs,2.327,1.402,3.974
2,14,InvSes,BtPlDw,2.804,1.721,4.767
2,14,InvSes,BnthAs,1.744,1.025,3.081
2,14,InvSes,BnthDw,2.337,1.449,3.976
2,14,InvMob,PelgAs,2.442,1.509,3.942
2,14,InvMob,PelgDw,2.428,1.508,4.034
2,14,InvMob,BtPlAs,2.299,1.363,3.804
2,14,InvMob,BtPlDw,2.827,1.773,4.579
2,14,InvMob,BnthAs,1.692,1.001,2.832
2,14,InvMob,BnthDw,2.43,1.497,3.912
2,14,FisCep,PelgAs,2.176,1.263,3.641
2,14,FisCep,PelgDw,2.174,1.248,3.658
2,14,FisCep,BtPlAs,2.018,1.136,3.45
2,14,FisCep,BtPlDw,2.487,1.457,4.21
2,14,FisCep,BnthAs,1.564,0.883,2.622
2,14,FisCep,BnthDw,2.035,1.223,3.461
2,16,HerMac,PelgAs,2.822,1.753,4.81
2,16,HerMac,PelgDw,2.817,1.706,4.838
2,16,HerMac,BtPlAs,2.646,1.594,4.425
2,16,HerMac,BtPlDw,3.194,1.928,5.318
2,16,HerMac,BnthAs,2.067,1.232,3.438
2,16,HerMac,BnthDw,2.686,1.644,4.455
2,16,HerDet,PelgAs,2.584,1.572,4.462
2,16,HerDet,PelgDw,2.555,1.547,4.501
2,16,HerDet,BtPlAs,2.44,1.441,4.148
2,16,HerDet,BtPlDw,2.892,1.72,4.903
2,16,HerDet,BnthAs,1.934,1.113,3.384
2,16,HerDet,BnthDw,2.447,1.476,4.2
2,16,Omnivr,PelgAs,2.508,1.502,4.37
2,16,Omnivr,PelgDw,2.506,1.481,4.448
2,16,Omnivr,BtPlAs,2.382,1.365,4.165
2,16,Omnivr,BtPlDw,2.837,1.656,4.796
2,16,Omnivr,BnthAs,1.874,1.068,3.241
2,16,Omnivr,BnthDw,2.379,1.436,4.015
2,16,Plktiv,PelgAs,2.99,1.805,5.019
2,16,Plktiv,PelgDw,3.012,1.801,5.041
2,16,Plktiv,BtPlAs,2.787,1.646,4.68
2,16,Plktiv,BtPlDw,3.314,1.978,5.58
2,16,Plktiv,BnthAs,2.207,1.254,3.873
2,16,Plktiv,BnthDw,2.821,1.638,4.821
2,16,InvSes,PelgAs,2.84,1.737,5.006
2,16,InvSes,PelgDw,2.824,1.711,4.993
2,16,InvSes,BtPlAs,2.698,1.601,4.686
2,16,InvSes,BtPlDw,3.256,1.936,5.406
2,16,InvSes,BnthAs,2.081,1.224,3.656
2,16,InvSes,BnthDw,2.66,1.623,4.652
2,16,InvMob,PelgAs,2.861,1.772,4.699
2,16,InvMob,PelgDw,2.838,1.751,4.691
2,16,InvMob,BtPlAs,2.657,1.643,4.39
2,16,InvMob,BtPlDw,3.232,1.963,5.21
2,16,InvMob,BnthAs,2.026,1.207,3.327
2,16,InvMob,BnthDw,2.727,1.688,4.389
2,16,FisCep,PelgAs,2.512,1.483,4.201
2,16,FisCep,PelgDw,2.5,1.458,4.307
2,16,FisCep,BtPlAs,2.247,1.275,3.884
2,16,FisCep,BtPlDw,2.795,1.611,4.754
2,16,FisCep,BnthAs,1.833,1.043,3.075
2,16,FisCep,BnthDw,2.297,1.364,3.851
2,18,HerMac,PelgAs,2.674,1.687,4.433
2,18,HerMac,PelgDw,2.663,1.694,4.464
2,18,HerMac,BtPlAs,2.407,1.482,3.986
2,18,HerMac,BtPlDw,2.797,1.692,4.683
2,18,HerMac,BnthAs,1.983,1.212,3.354
2,18,HerMac,BnthDw,2.772,1.778,4.383
2,18,HerDet,PelgAs,2.431,1.503,4.063
2,18,HerDet,PelgDw,2.423,1.487,4.105
2,18,HerDet,BtPlAs,2.215,1.291,3.72
2,18,HerDet,BtPlDw,2.528,1.46,4.382
2,18,HerDet,BnthAs,1.848,1.064,3.118
2,18,HerDet,BnthDw,2.501,1.545,4.097
2,18,Omnivr,PelgAs,2.343,1.373,3.815
2,18,Omnivr,PelgDw,2.337,1.39,3.893
2,18,Omnivr,BtPlAs,2.118,1.229,3.585
2,18,Omnivr,BtPlDw,2.415,1.381,4.186
2,18,Omnivr,BnthAs,1.761,0.998,2.987
2,18,Omnivr,BnthDw,2.418,1.429,3.851
2,18,Plktiv,PelgAs,2.867,1.769,4.647
2,18,Plktiv,PelgDw,2.87,1.768,4.752
2,18,Plktiv,BtPlAs,2.568,1.555,4.401
2,18,Plktiv,BtPlDw,2.968,1.763,4.873
2,18,Plktiv,BnthAs,2.123,1.274,3.597
2,18,Plktiv,BnthDw,2.911,1.76,4.683
2,18,InvSes,PelgAs,2.716,1.661,4.583
2,18,InvSes,PelgDw,2.712,1.645,4.589
2,18,InvSes,BtPlAs,2.482,1.519,4.217
2,18,InvSes,BtPlDw,2.872,1.678,4.957
2,18,InvSes,BnthAs,2.026,1.17,3.591
2,18,InvSes,BnthDw,2.756,1.698,4.66
2,18,InvMob,PelgAs,2.63,1.709,4.311
2,18,InvMob,PelgDw,2.627,1.654,4.29
2,18,InvMob,BtPlAs,2.406,1.476,3.96
2,18,InvMob,BtPlDw,2.743,1.681,4.482
2,18,InvMob,BnthAs,1.907,1.177,3.205
2,18,InvMob,BnthDw,2.784,1.776,4.267
2,18,FisCep,PelgAs,2.408,1.392,3.991
2,18,FisCep,PelgDw,2.393,1.414,4.041
2,18,FisCep,BtPlAs,2.087,1.186,3.466
2,18,FisCep,BtPlDw,2.495,1.423,4.219
2,18,FisCep,BnthAs,1.785,1.028,2.935
2,18,FisCep,BnthDw,2.428,1.418,3.915
2,20,HerMac,PelgAs,3.317,2.023,5.411
2,20,HerMac,PelgDw,3.27,1.943,5.49
2,20,HerMac,BtPlAs,3.099,1.889,5.077
2,20,HerMac,BtPlDw,3.534,2.077,5.906
2,20,HerMac,BnthAs,2.455,1.503,3.951
2,20,HerMac,BnthDw,3.183,1.928,5.15
